"_id","_labels","atcClassification","category","class","diseaseID","drugID","ensemblID","name","ncbiID","ncbiTaxID","providedBy","semanticType","symbol","type","uniprotID","_start","_end","_type","associationType","confidenceScore","identifier","providedBy","publication","relation","type"
"76",":Protein","","biolink:Protein","","","","[""ENSG00000164919""]","","1345","9606","intact_covid,pathway","","COX6C","","P09669",,,,,,,,,,
"77",":Disease","","","C16;C05;C10","C0410189","","","Muscular Dystrophy, Emery-Dreifuss","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"78",":Protein","","biolink:Protein","","","","[""ENSG00000072506""]","","3028","9606","intact_covid","","HSD17B10","","Q99714",,,,,,,,,,
"79",":Disease","","","C16;C05;C14","C1857829","","","Heart-hand syndrome, Slovenian type","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"81",":Protein","","biolink:Protein","","","","[""ENSG00000188976""]","","26155","9606","intact_covid","","NOC2L","","Q9Y3T9",,,,,,,,,,
"82",":Disease","","","C16;C05;C10","C2750035","","","Emery-Dreifuss Muscular Dystrophy 3","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"88",":Protein","","biolink:Protein","","","","[""ENSG00000133265""]","","23640","9606","intact_covid","","HSPBP1","","Q9NZL4",,,,,,,,,,
"90",":Protein","","biolink:Protein","","","","[""ENSG00000244509""]","","27350","9606","intact_covid","","APOBEC3C","","Q9NRW3",,,,,,,,,,
"92",":Protein","","biolink:Protein","","","","[""ENSG00000088205""]","","8886","9606","intact_covid","","DDX18","","Q9NVP1",,,,,,,,,,
"94",":Protein","","biolink:Protein","","","","[""ENSG00000225998"",""ENSG00000236826"",""ENSG00000224979"",""ENSG00000172850"",""ENSG00000204392"",""ENSG00000231502""]","","57819","9606","intact_covid","","LSM2","","Q9Y333",,,,,,,,,,
"95",":Disease","","","C23;C16;C05;C10;C19","C2678312","","","Three M Syndrome 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"99",":Disease","","","C23;C16;C05;C10;C19","C2752041","","","Three M Syndrome 2","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"100",":Disease","","","C18;C17","C0271694","","","Familial partial lipodystrophy","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"101",":Disease","","","C16;C10;C14","C0175702","","","Williams Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"105",":Disease","","","C16;C13;C05;C12;C19","C0265205","","","Robinow Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"106",":Protein","","biolink:Protein","","","","[""ENSG00000149657""]","","149986","9606","intact_covid","","LSM14B","","Q9BX40",,,,,,,,,,
"111",":Disease","","","C16;C05;C10","C1450051","","","Autosomal Recessive Emery-Dreifuss Muscular Dystrophy","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"117",":Disease","","","C18;C17","C1720859","","","Familial Partial Lipodystrophy, Type 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"119",":Disease","","","C23;C10","C0036572","","","Seizures","","","","Sign or Symptom","","phenotype","",,,,,,,,,,
"120",":Protein","","biolink:Protein","","","","[""ENSG00000213782""]","","51202","9606","intact_covid","","DDX47","","Q9H0S4",,,,,,,,,,
"126",":Disease","","","C23;C16;C05;C10;C19","C1848862","","","Miller-McKusick-Malvaux-Syndrome (3M Syndrome)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"127",":Disease","","","C16;C11;C05;C10","C3502492","","","Microcephaly with Chorioretinopathy, Autosomal Recessive","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"131",":Protein","","biolink:Protein","","","","[""ENSG00000055044""]","","51602","9606","intact_covid","","NOP58","","Q9Y2X3",,,,,,,,,,
"132",":Protein","","biolink:Protein","","","","[""ENSG00000291996"",""ENSG00000182117""]","","55505","9606","intact_covid","","NOP10","","Q9NPE3",,,,,,,,,,
"133",":Disease","","","C23;C14","C0004245","","","Atrioventricular Block","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"134",":Disease","","","C16;C05;C10;C14","C1832370","","","MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"137",":Disease","","","C16;C18;C05;C10","C2673377","","","MUCOLIPIDOSIS II ALPHA/BETA (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"139",":Disease","","","C16;C10","C1854467","","","Spastic paraplegia 13, autosomal dominant","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"141",":Disease","","","C14","C1858154","","","CARDIOMYOPATHY, DILATED, 1I","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"143",":Disease","","","C16;C18;C05;C10","C0020725","","","Type II Mucolipidosis","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"144",":Disease","","","C16;C18;C05;C10","C1854896","","","Mucolipidosis III Gamma","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"146",":Disease","","","C16;C17","C2751987","","","Cutis Laxa, Autosomal Recessive, Type IIB","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"150",":Protein","","biolink:Protein","","","","[""ENSG00000115211""]","","8890","9606","intact_covid,pathway","","EIF2B4","","Q9UI10",,,,,,,,,,
"152",":Disease","","","C05;C10","C0410204","","","Myopathy, Centronuclear, Autosomal Recessive","","","","Disease or Syndrome; Congenital Abnormality","","disease","",,,,,,,,,,
"153",":Disease","","","C16;C18;C10","C2677109","","","Leukodystrophy, Hypomyelinating, 4","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"155",":Disease","","","C16;C18;C05;C10","C0033788","","","Pseudo-Hurler Polydystrophy","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"158",":Protein","","biolink:Protein","","","","[""ENSG00000125484""]","","9329","9606","intact_covid","","GTF3C4","","Q9UKN8",,,,,,,,,,
"160",":Disease","","","C16;C10","C1867005","","","Scapuloperoneal Syndrome, Neurogenic, Kaeser Type","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"167",":Disease","","","C23;C10","C3489627","","","Stuttering, Familial Persistent 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"168",":Disease","","","C05;C10","C3645536","","","Autosomal Recessive Centronuclear Myopathy","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"169",":Disease","","","C16;C17","C0263428","","","Burnett Schwartz Berberian syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"170",":Disease","","","C05;C10","C1834558","","","Myopathy, Centronuclear, Autosomal Dominant","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"173",":Disease","","","C23;C01","C0376618","","","Endotoxemia","","","","Disease or Syndrome","","phenotype","",,,,,,,,,,
"175",":Disease","","","C18","C0021655","","","Insulin Resistance","","","","Pathologic Function","","phenotype","",,,,,,,,,,
"177",":Disease","","","C16;C18;C17;C10","C0022716","","","Menkes Kinky Hair Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"178",":Disease","","","C16;C18","C0043119","","","Werner Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"179",":Disease","","","C16;C10","C1846564","","","SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIVE","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"181",":Disease","","","C16;C10","C1845359","","","Spinal Muscular Atrophy, Distal, X-Linked 3","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"182",":Disease","","","C16;C17;C15;C14","C0268353","","","Cutis laxa, x-linked","","","","Congenital Abnormality","","disease","",,,,,,,,,,
"185",":Disease","","","C16;C18","C2931746","","","Sulfocysteinuria","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"186",":Protein","","biolink:Protein","","","","[""ENSG00000143198""]","","4259","9606","intact_covid","","MGST3","","O14880",,,,,,,,,,
"187",":Disease","","","C16;C18","C0268624","","","Sulfite oxidase deficiency","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"189",":Disease","","","C16;C18","C3550234","","","PEROXISOME BIOGENESIS DISORDER 2B","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"193",":Disease","","","C16;C18","C3550273","","","PEROXISOME BIOGENESIS DISORDER 2A (ZELLWEGER)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"197",":Disease","","","C16;C18;C20","C1858266","","","Bare Lymphocyte Syndrome, Type I","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"198",":Disease","","","C23;C16;C10","C3711370","","","Spastic Paraplegia Type 7","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"200",":Protein","","biolink:Protein","","","","[""ENSG00000006712""]","","54623","9606","intact_covid","","PAF1","","Q8N7H5",,,,,,,,,,
"201",":Protein","","biolink:Protein","","","","[""ENSG00000145912""]","","55651","9606","intact_covid","","NHP2","","Q9NX24",,,,,,,,,,
"202",":Disease","","","C14;C26","C0741160","","","Aortic Aneurysm, Ruptured","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"205",":Protein","","biolink:Protein","","","","[""ENSG00000282130"",""ENSG00000185115""]","","56160","9606","intact_covid","","NSMCE3","","Q96MG7",,,,,,,,,,
"207",":Disease","","","C16;C04;C05;C14","C2752042","","","Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"208",":Disease","","","C15","C1704423","","","Milroy Disease","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"210",":Disease","","","C16;C17;C05;C10;C14","C1865285","","","Megalencephaly cutis marmorata telangiectatica congenita","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"211",":Disease","","","C23;C11;C10","C0152200","","","Achromatopsia","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"219",":Disease","","","C04","C2750074","","","Rhabdoid Tumor Predisposition Syndrome 2","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"221",":Disease","","","C16;C05","C1843042","","","Craniolenticulosutural Dysplasia","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"222",":Disease","","","C16;C20;C10","C2749659","","","AICARDI-GOUTIERES SYNDROME 5 (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"223",":Disease","","","C16;C11;C05;C12;C10;C19","C0796279","","","Carnevale syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"225",":Disease","","","C17","C0022603","","","Seborrheic keratosis","","","","Neoplastic Process","","disease","",,,,,,,,,,
"227",":Disease","","","C16;C05","C0265552","","","Congenital macrodactylia","","","","Congenital Abnormality","","disease","",,,,,,,,,,
"228",":Disease","","","C04","C0006826","","","Malignant Neoplasms","","","","Neoplastic Process","","group","",,,,,,,,,,
"230",":Disease","","","C16;C04","C1865871","","","HEMANGIOMA, CAPILLARY INFANTILE","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"231",":Disease","","","C16;C15;C14","C2751313","","","CLAPO Syndrome","","","","Disease or Syndrome; Congenital Abnormality","","disease","",,,,,,,,,,
"233",":Disease","","","C23;C16;C05;C10;F03;C07;F01","C0265338","","","Coffin-Siris syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"234",":Disease","","","C06;C04","C1514428","","","Primary peritoneal carcinoma","","","","Neoplastic Process","","disease","",,,,,,,,,,
"237",":Protein","","biolink:Protein","","","","[""ENSG00000109534""]","","54433","9606","intact_covid","","GAR1","","Q9NY12",,,,,,,,,,
"242",":Disease","","","C16;C17","C0409818","","","Chronic Infantile Neurological, Cutaneous, and Articular Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"244",":Disease","","","C16;C17","C4551895","","","Familial Cold Autoinflammatory Syndrome 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"248",":Disease","","","C16;C15","C0002312","","","alpha-Thalassemia","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"249",":Disease","","","C16;C15","C0002895","","","Anemia, Sickle Cell","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"250",":Disease","","","C16;C15","C0005283","","","beta Thalassemia","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"254",":Disease","","","C16;C15","C1306589","","","Congenital dyserythropoietic anemia, type II","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"255",":Protein","","biolink:Protein","","","","[""ENSG00000123562""]","","9643","9606","intact_covid","","MORF4L2","","Q15014",,,,,,,,,,
"256",":Disease","","","C16;C17","C0268390","","","Muckle-Wells Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"257",":Disease","","","C16;C17","C0343068","","","Familial cold urticaria","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"259",":Disease","","","C23;C16;C10","C3266731","","","2-methyl-3-hydroxybutyric aciduria","","","","Disease or Syndrome","","phenotype","",,,,,,,,,,
"266",":Disease","","","C16;C18;C10;C14","C2751536","","","CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"268",":Disease","","","C16;C15","C0002875","","","Cooley's anemia","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"269",":Disease","","","C16;C15","C1858990","","","Beta Thalassemia, Dominant Inclusion Body Type","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"274",":Disease","","","C15","C1853286","","","Erythrocytosis, Familial, 3","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"276",":Disease","","","F03","C0338656","","","Impaired cognition","","","","Mental or Behavioral Dysfunction","","disease","",,,,,,,,,,
"277",":Disease","","","C16;C18;C10;C14","C2931672","","","Cerebral hemorrhage with amyloidosis, hereditary, Dutch type","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"279",":Disease","","","C16;C15","C0700299","","","Heinz Body Anemias","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"280",":Disease","","","C16;C15","C3161174","","","Hemoglobin H Disease","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"281",":Disease","","","C16;C15","C0019025","","","Hemoglobin F Disease","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"283",":Disease","","","C16;C15","C0002876","","","Congenital dyserythropoietic anemia","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"286",":Disease","","","C18;C10;C14","C0085220","","","Cerebral Amyloid Angiopathy","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"287",":Disease","","","C10;F03","C0750901","","","Alzheimer Disease, Early Onset","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"289",":Disease","","","C23;C16;C13;C20;C15","C0020305","","","Hydrops Fetalis","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"290",":Disease","","","C16;C15","C0019045","","","Hemoglobinopathies","","","","Disease or Syndrome","","group","",,,,,,,,,,
"291",":Disease","","","C01","C0024530","","","Malaria","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"292",":Disease","","","C16;C15","C0472767","","","Beta thalassemia intermedia","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"295",":Disease","","","C16;C17","C2316212","","","Cryopyrin-Associated Periodic Syndromes","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"296",":Disease","","","C15","C0271901","","","Microcytic hypochromic anemia (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"298",":Disease","","","C16;C11","C1838702","","","Retinitis Pigmentosa 13","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"299",":Disease","","","C16;C14","C1969081","","","Arrhythmogenic Right Ventricular Dysplasia, Familial, 12","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"300",":Disease","","","C16;C10","C2677589","","","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 9","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"303",":Disease","","","C10;F03","C0752347","","","Lewy Body Disease","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"305",":Disease","","","C16;C18;C05;C10","C0238286","","","Mucolipidosis Type IV","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"309",":Disease","","","C23;C16;C11;C10;F03;F01","C1855722","","","Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"310",":Disease","","","C16;C10","C1834690","","","Spinal Muscular Atrophy, Childhood, Proximal, Autosomal Dominant","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"313",":Disease","","","C10","C1846331","","","Juvenile-onset dystonia","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"319",":Disease","","","C10","C0030567","","","Parkinson Disease","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"320",":Disease","","","C10;F03","C1854182","","","PARKINSON DISEASE 4, AUTOSOMAL DOMINANT LEWY BODY (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"322",":Disease","","","C16;C11","C1835895","","","RETINITIS PIGMENTOSA 33 (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"324",":Disease","","","C16;C17;C14","C1832600","","","Naxos disease","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"325",":Disease","","","C16;C11","C1833118","","","Cataract, Pulverulent","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"326",":Disease","","","C23","C0334121","","","Inflammatory Myofibroblastic Tumor","","","","Neoplastic Process","","disease","",,,,,,,,,,
"327",":Disease","","","C13;C12","C0027720","","","Nephrosis","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"328",":Disease","","","C23;C16;C06","C1861556","","","Cirrhosis, Familial","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"329",":Disease","","","C11","C1852438","","","CATARACT, COPPOCK-LIKE","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"330",":Disease","","","C16","C1850343","","","Mosaic variegated aneuploidy syndrome 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"331",":Disease","","","C16;C15","C0005129","","","Bernard-Soulier Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"334",":Disease","","","C16;C15","C0015530","","","Hereditary Factor XIII Deficiency","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"335",":Disease","","","C16;C15","C1280798","","","Von Willebrand disease, platelet type","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"336",":Disease","","","C04","C0206655","","","Alveolar rhabdomyosarcoma","","","","Neoplastic Process","","disease","",,,,,,,,,,
"337",":Disease","","","C23;C16;C11;C05;C10;F03;F01","C1864652","","","Growth and mental retardation, mandibulofacial dysostosis, microcephaly, and cleft palate","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"338",":Disease","","","C16;C11;C05","C0265245","","","Nager syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"339",":Disease","","","C04;C19","C0687150","","","Parathyroid Gland Adenocarcinoma","","","","Neoplastic Process","","disease","",,,,,,,,,,
"340",":Disease","","","C04;C05;C19;C07","C1704981","","","Hyperparathyroidism-Jaw Tumor Syndrome","","","","Neoplastic Process","","disease","",,,,,,,,,,
"341",":Disease","","","C18;C10","C1837728","","","AMYOTROPHIC LATERAL SCLEROSIS 8 (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"342",":Disease","","","C16;C15","C2750514","","","Factor Xiii, A Subunit, Deficiency Of","","","","Finding","","disease","",,,,,,,,,,
"343",":Disease","","","C05;C10;C19","C0878683","","","Pituitary Dwarfism Type 3","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"344",":Disease","","","C16;C10","C1853116","","","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 8 (disorder)","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"346",":Disease","","","C01;C17","C1859353","","","Candidiasis, Familial, 2","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"347",":Disease","","","C04;C19","C0262587","","","Parathyroid Adenoma","","","","Neoplastic Process","","disease","",,,,,,,,,,
"348",":Disease","","","C19","C1840402","","","HYPERPARATHYROIDISM 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"349",":Disease","","","C10","C1854058","","","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"350",":Disease","","","C10","C1866777","","","Spinal Muscular Atrophy, Proximal, Adult, Autosomal Dominant","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"351",":Disease","","","C16;C05;C10","C2751807","","","Emery-Dreifuss Muscular Dystrophy 4","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"353",":Disease","","","C19","C4551961","","","Familial Isolated Hyperparathyroidism","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"354",":Disease","","","C16;C04;C17","C4551592","","","SKIN CREASES, CONGENITAL SYMMETRIC CIRCUMFERENTIAL, 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"355",":Disease","","","C04;C20;C15","C0019829","","","Hodgkin Disease","","","","Neoplastic Process","","disease","",,,,,,,,,,
"356",":Disease","","","C10;C19","C0242343","","","Panhypopituitarism","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"357",":Disease","","","C23;C10","C0007758","","","Cerebellar Ataxia","","","","Disease or Syndrome","","phenotype","",,,,,,,,,,
"358",":Disease","","","C23;C12;C10;C09","C1970187","","","Deafness, Sensorineural, And Male Infertility","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"359",":Disease","","","C16;C18","C0017923","","","Glycogen Storage Disease Type IV","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"360",":Disease","","","C16;C18;C10","C0023374","","","Lesch-Nyhan Syndrome","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"361",":Disease","","","C16;C17;C05;C10","C2931072","","","Epidermolysa bullosa simplex and limb girdle muscular dystrophy","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"362",":Disease","","","C16;C18","C0017924","","","Glycogen Storage Disease Type V","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"363",":Disease","","","C23;C08;C10;F03;F01","C1970431","","","PITT-HOPKINS SYNDROME","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"364",":Disease","","","C16;C17;C05;C14","C1860991","","","NOONAN SYNDROME 3","","","","Disease or Syndrome","","disease","",,,,,,,,,,
