"_id","_labels","atcClassification","category","class","detail","diseaseID","drugID","ensemblID","name","ncbiID","ncbiTaxID","providedBy","semanticType","symbol","type","uniprotID","_start","_end","_type","associationType","confidenceScore","identifier","providedBy","publication","relation","type"
"140",":Protein","","biolink:Protein","","","","","[""ENSG00000166582""]","","201161","9606","intact_covid","","CENPV","","Q7Z7K6",,,,,,,,,,
"141",":Protein","","biolink:Protein","","","","","[""ENSG00000147853""]","","50808","9606","intact_covid","","AK3","","Q9UIJ7",,,,,,,,,,
"143",":Disease","","","C16;C17;C15;C14","","C4551499","","","EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"144",":Protein","","biolink:Protein","","","","","[""ENSG00000088325""]","","22974","9606","intact_covid","","TPX2","","Q9ULW0",,,,,,,,,,
"145",":Protein","","biolink:Protein","","","","","[""ENSG00000174173""]","","54931","9606","intact_covid","","TRMT10C","","Q7L0Y3",,,,,,,,,,
"146",":Disease","","","C16;C20","","C3151078","","","Complement Component C1s Deficiency","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"148",":Disease","","","C18;C10","","C1862941","","","Amyotrophic Lateral Sclerosis, Sporadic","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"149",":Disease","","","C06","","C0520459","","","Necrotizing Enterocolitis","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"152",":Protein","","biolink:Protein","","","","","[""ENSG00000084774""]","","790","9606","intact_covid,pathway","","CAD","","P27708",,,,,,,,,,
"153",":Disease","","","C14","","C0018790","","","Cardiac Arrest","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"154",":Protein","","biolink:Protein","","","","","[""ENSG00000144028""]","","23020","9606","intact_covid","","SNRNP200","","O75643",,,,,,,,,,
"155",":Protein","","biolink:Protein","","","","","[""ENSG00000117450""]","","5052","9606","intact_covid,pathway","","PRDX1","","Q06830",,,,,,,,,,
"156",":Protein","","biolink:Protein","","","","","[""ENSG00000174231"",""ENSG00000274442""]","","10594","9606","intact_covid","","PRPF8","","Q6P2Q9",,,,,,,,,,
"159",":Protein","","biolink:Protein","","","","","[""ENSG00000075624""]","","60","9606","intact_covid,pathway","","ACTB","","P60709",,,,,,,,,,
"160",":Protein","","biolink:Protein","","","","","[""ENSG00000197102""]","","1778","9606","intact_covid","","DYNC1H1","","Q14204",,,,,,,,,,
"161",":Protein","","biolink:Protein","","","","","[""ENSG00000130669""]","","10298","9606","intact_covid","","PAK4","","O96013",,,,,,,,,,
"162",":Protein","","biolink:Protein","","","","","[""ENSG00000153201""]","","5903","9606","intact_covid,pathway","","RANBP2","","P49792",,,,,,,,,,
"165",":Protein","","biolink:Protein","","","","","[""ENSG00000100632""]","","2079","9606","intact_covid","","ERH","","P84090",,,,,,,,,,
"166",":Protein","","biolink:Protein","","","","","[""ENSG00000169020""]","","521","9606","intact_covid,pathway","","ATP5ME","","P56385",,,,,,,,,,
"167",":Protein","","biolink:Protein","","","","","[""ENSG00000183684""]","","10189","9606","intact_covid","","ALYREF","","Q86V81",,,,,,,,,,
"168",":Protein","","biolink:Protein","","","","","[""ENSG00000178952""]","","7284","9606","intact_covid,pathway","","TUFM","","P49411",,,,,,,,,,
"169",":Protein","","biolink:Protein","","","","","[""ENSG00000198730""]","","9646","9606","intact_covid","","CTR9","","Q6PD62",,,,,,,,,,
"170",":Protein","","biolink:Protein","","","","","[""ENSG00000132475""]","","3021","9606","intact_covid","","H3-3B","","P84243",,,,,,,,,,
"173",":Protein","","biolink:Protein","","","","","[""ENSG00000248333""]","","984","9606","intact_covid","","CDK11B","","P21127",,,,,,,,,,
"174",":Protein","","biolink:Protein","","","","","[""ENSG00000254772""]","","1937","9606","intact_covid","","EEF1G","","P26641",,,,,,,,,,
"175",":Disease","","","C06","","C0162557","","","Liver Failure, Acute","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"177",":Protein","","biolink:Protein","","","","","[""ENSG00000108256""]","","57532","9606","intact_covid","","NUFIP2","","Q7Z417",,,,,,,,,,
"178",":Protein","","biolink:Protein","","","","","[""ENSG00000113758""]","","1627","9606","intact_covid","","DBN1","","Q16643",,,,,,,,,,
"179",":Protein","","biolink:Protein","","","","","[""ENSG00000184678""]","","8349","9606","intact_covid,pathway","","H2BC21","","Q16778",,,,,,,,,,
"180",":Protein","","biolink:Protein","","","","","[""ENSG00000116478""]","","3065","9606","intact_covid","","HDAC1","","Q13547",,,,,,,,,,
"181",":Protein","","biolink:Protein","","","","","[""ENSG00000153147""]","","8467","9606","intact_covid","","SMARCA5","","O60264",,,,,,,,,,
"182",":Protein","","biolink:Protein","","","","","[""ENSG00000030582""]","","2896","9606","intact_covid","","GRN","","P28799",,,,,,,,,,
"183",":Disease","","","C04","","C0042133","","","Uterine Fibroids","","","","Neoplastic Process","","group","",,,,,,,,,,
"185",":Protein","","biolink:Protein","","","","","[""ENSG00000121058""]","","8161","9606","intact_covid","","COIL","","P38432",,,,,,,,,,
"187",":Protein","","biolink:Protein","","","","","[""ENSG00000067225""]","","5315","9606","intact_covid","","PKM","","P14618",,,,,,,,,,
"188",":Protein","","biolink:Protein","","","","","[""ENSG00000160633""]","","6294","9606","intact_covid","","SAFB","","Q15424",,,,,,,,,,
"189",":Disease","","","C14","","C0162871","","","Aortic Aneurysm, Abdominal","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"192",":Protein","","biolink:Protein","","","","","[""ENSG00000167325""]","","6240","9606","intact_covid,pathway","","RRM1","","P23921",,,,,,,,,,
"193",":Protein","","biolink:Protein","","","","","[""ENSG00000243678""]","","4831","9606","intact_covid,pathway","","NME2","","P22392",,,,,,,,,,
"197",":Protein","","biolink:Protein","","","","","[""ENSG00000163956""]","","4043","9606","intact_covid","","LRPAP1","","P30533",,,,,,,,,,
"198",":Protein","","biolink:Protein","","","","","[""ENSG00000241685""]","","10552","9606","intact_covid","","ARPC1A","","Q92747",,,,,,,,,,
"202",":Disease","","","C14","","C0033141","","","Cardiomyopathies, Primary","","","","Disease or Syndrome","","group","",,,,,,,,,,
"203",":Disease","","","C06","","C0156147","","","Crohn's disease of large bowel","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"204",":Protein","","biolink:Protein","","","","","[""ENSG00000167088""]","","6632","9606","intact_covid,pathway","","SNRPD1","","P62314",,,,,,,,,,
"206",":Protein","","biolink:Protein","","","","","[""ENSG00000111057""]","","3875","9606","intact_covid","","KRT18","","P05783",,,,,,,,,,
"207",":Protein","","biolink:Protein","","","","","[""ENSG00000273542""]","","8362","9606","intact_covid,pathway,pathway,pathway,pathway","","H4C9","","P62805",,,,,,,,,,
"208",":Protein","","biolink:Protein","","","","","[""ENSG00000026025""]","","7431","9606","intact_covid","","VIM","","P08670",,,,,,,,,,
"209",":Protein","","biolink:Protein","","","","","[""ENSG00000129515""]","","58533","9606","intact_covid","","SNX6","","Q9UNH7",,,,,,,,,,
"210",":Protein","","biolink:Protein","","","","","[""ENSG00000167468""]","","2879","9606","intact_covid,pathway","","GPX4","","P36969",,,,,,,,,,
"211",":Protein","","biolink:Protein","","","","","[""ENSG00000015479"",""ENSG00000280987""]","","9782","9606","intact_covid","","MATR3","","P43243",,,,,,,,,,
"213",":Protein","","biolink:Protein","","","","","[""ENSG00000136527""]","","6434","9606","intact_covid","","TRA2B","","P62995",,,,,,,,,,
"217",":Protein","","biolink:Protein","","","","","[""ENSG00000173801""]","","3728","9606","intact_covid","","JUP","","P14923",,,,,,,,,,
"218",":Protein","","biolink:Protein","","","","","[""ENSG00000203852""]","","333932","9606","intact_covid,pathway","","H3C15","","Q71DI3",,,,,,,,,,
"219",":Protein","","biolink:Protein","","","","","[""ENSG00000163902""]","","6184","9606","intact_covid,pathway","","RPN1","","P04843",,,,,,,,,,
"221",":Protein","","biolink:Protein","","","","","[""ENSG00000163050""]","","56997","9606","intact_covid","","COQ8A","","Q8NI60",,,,,,,,,,
"222",":Protein","","biolink:Protein","","","","","[""ENSG00000173660""]","","7388","9606","intact_covid,pathway","","UQCRH","","P07919",,,,,,,,,,
"223",":Protein","","biolink:Protein","","","","","[""ENSG00000100227""]","","84271","9606","intact_covid","","POLDIP3","","Q9BY77",,,,,,,,,,
"224",":Protein","","biolink:Protein","","","","","[""ENSG00000198561""]","","1500","9606","intact_covid","","CTNND1","","O60716",,,,,,,,,,
"225",":Protein","","biolink:Protein","","","","","[""ENSG00000030066""]","","23279","9606","intact_covid,pathway","","NUP160","","Q12769",,,,,,,,,,
"227",":Protein","","biolink:Protein","","","","","[""ENSG00000178999""]","","9212","9606","intact_covid","","AURKB","","Q96GD4",,,,,,,,,,
"228",":Protein","","biolink:Protein","","","","","[""ENSG00000131018""]","","23345","9606","intact_covid","","SYNE1","","Q8NF91",,,,,,,,,,
"230",":Protein","","biolink:Protein","","","","","[""ENSG00000108883""]","","9343","9606","intact_covid","","EFTUD2","","Q15029",,,,,,,,,,
"231",":Protein","","biolink:Protein","","","","","[""ENSG00000169021""]","","7386","9606","intact_covid,pathway","","UQCRFS1","","P47985",,,,,,,,,,
"232",":Protein","","biolink:Protein","","","","","[""ENSG00000134371""]","","79577","9606","intact_covid","","CDC73","","Q6P1J9",,,,,,,,,,
"233",":Protein","","biolink:Protein","","","","","[""ENSG00000119421""]","","4702","9606","intact_covid,pathway","","NDUFA8","","P51970",,,,,,,,,,
"234",":Disease","","","C16;C17;C15;C14","","C0268347","","","Ehlers-Danlos Syndrome, Type VIII","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"235",":Protein","","biolink:Protein","","","","","[""ENSG00000141456""]","","27043","9606","intact_covid","","PELP1","","Q8IZL8",,,,,,,,,,
"238",":Protein","","biolink:Protein","","","","","[""ENSG00000141425""]","","55197","9606","intact_covid","","RPRD1A","","Q96P16",,,,,,,,,,
"239",":Protein","","biolink:Protein","","","","","[""ENSG00000229684"",""ENSG00000183311"",""ENSG00000227739"",""ENSG00000196230"",""ENSG00000224156"",""ENSG00000235067"",""ENSG00000232421"",""ENSG00000232575""]","","203068","9606","intact_covid","","TUBB","","P07437",,,,,,,,,,
"241",":Protein","","biolink:Protein","","","","","[""ENSG00000108654""]","","1655","9606","intact_covid,pathway","","DDX5","","P17844",,,,,,,,,,
"242",":Disease","","","C10;C14","","C0007787","","","Transient Ischemic Attack","","","","Disease or Syndrome","","disease","",,,,,,,,,,
"243",":Protein","","biolink:Protein","","","","","[""ENSG00000100201""]","","10521","9606","intact_covid","","DDX17","","Q92841",,,,,,,,,,
"244",":Protein","","biolink:Protein","","","","","[""ENSG00000164466""]","","94081","9606","intact_covid","","SFXN1","","Q9H9B4",,,,,,,,,,
"245",":Protein","","biolink:Protein","","","","","[""ENSG00000100028""]","","6634","9606","intact_covid,pathway","","SNRPD3","","P62318",,,,,,,,,,
"247",":Protein","","biolink:Protein","","","","","[""ENSG00000124164""]","","9217","9606","intact_covid,pathway","","VAPB","","O95292",,,,,,,,,,
"248",":Protein","","biolink:Protein","","","","","[""ENSG00000136810""]","","7295","9606","intact_covid,pathway","","TXN","","P10599",,,,,,,,,,
"249",":Protein","","biolink:Protein","","","","","[""ENSG00000164082""]","","2912","9606","intact_covid","","GRM2","","Q14416",,,,,,,,,,
"250",":Protein","","biolink:Protein","","","","","[""ENSG00000185245""]","","2811","9606","intact_covid,pathway","","GP1BA","","P07359",,,,,,,,,,
"251",":Protein","","biolink:Protein","","","","","[""N/A""]","","N/A","9606","intact_covid","","GP1BA","","A5CKE2",,,,,,,,,,
"252",":Protein","","biolink:Protein","","","","","[""ENSG00000115233""]","","10213","9606","intact_covid","","PSMD14","","O00487",,,,,,,,,,
"253",":Protein","","biolink:Protein","","","","","[""ENSG00000163661""]","","5806","9606","intact_covid","","PTX3","","P26022",,,,,,,,,,
"254",":Protein","","biolink:Protein","","","","","[""ENSG00000110367""]","","1656","9606","intact_covid","","DDX6","","P26196",,,,,,,,,,
"256",":Protein","","biolink:Protein","","","","","[""ENSG00000263236"",""ENSG00000292039"",""ENSG00000213416""]","","83755","9606","intact_covid","","KRTAP4-12","","Q9BQ66",,,,,,,,,,
"257",":Protein","","biolink:Protein","","","","","[""ENSG00000133466""]","","114904","9606","intact_covid","","C1QTNF6","","Q9BXI9",,,,,,,,,,
"258",":Protein","","biolink:Protein","","","","","[""ENSG00000067066""]","","6672","9606","intact_covid","","SP100","","P23497",,,,,,,,,,
"259",":Protein","","biolink:Protein","","","","","[""ENSG00000009709""]","","5081","9606","intact_covid","","PAX7","","P23759",,,,,,,,,,
"260",":Protein","","biolink:Protein","","","","","[""ENSG00000159871""]","","284348","9606","intact_covid","","LYPD5","","Q6UWN5",,,,,,,,,,
"261",":Protein","","biolink:Protein","","","","","[""ENSG00000135406""]","","5630","9606","intact_covid","","PRPH","","P41219",,,,,,,,,,
"262",":Protein","","biolink:Protein","","","","","[""ENSG00000070371""]","","8218","9606","intact_covid","","CLTCL1","","P53675",,,,,,,,,,
"263",":Protein","","biolink:Protein","","","","","[""ENSG00000162924""]","","5966","9606","intact_covid,pathway","","REL","","Q04864",,,,,,,,,,
"264",":Protein","","biolink:Protein","","","","","[""ENSG00000113369""]","","57561","9606","intact_covid","","ARRDC3","","Q96B67",,,,,,,,,,
"265",":Protein","","biolink:Protein","","","","","[""ENSG00000168958""]","","56947","9606","intact_covid","","MFF","","Q9GZY8",,,,,,,,,,
"266",":Protein","","biolink:Protein","","","","","[""ENSG00000159210""]","","11267","9606","intact_covid","","SNF8","","Q96H20",,,,,,,,,,
"267",":Protein","","biolink:Protein","","","","","[""ENSG00000228425"",""ENSG00000206286"",""ENSG00000223501"",""ENSG00000224455"",""ENSG00000236014"",""ENSG00000225590"",""ENSG00000223618""]","","6293","9606","intact_covid","","VPS52","","Q8N1B4",,,,,,,,,,
"268",":Protein","","biolink:Protein","","","","","[""ENSG00000187796""]","","64170","9606","intact_covid","","CARD9","","Q9H257",,,,,,,,,,
"269",":Protein","","biolink:Protein","","","","","[""ENSG00000137210""]","","81853","9606","intact_covid","","TMEM14B","","Q9NUH8",,,,,,,,,,
"270",":Protein","","biolink:Protein","","","","","[""ENSG00000176903""]","","9240","9606","intact_covid","","PNMA1","","Q8ND90",,,,,,,,,,
"271",":Protein","","biolink:Protein","","","","","[""ENSG00000139193""]","","939","9606","intact_covid","","CD27","","P26842",,,,,,,,,,
"272",":Protein","","biolink:Protein","","","","","[""ENSG00000157429""]","","7567","9606","intact_covid","","ZNF19","","P17023",,,,,,,,,,
"273",":Protein","","biolink:Protein","","","","","[""ENSG00000126214""]","","3831","9606","intact_covid","","KLC1","","Q07866",,,,,,,,,,
"274",":Protein","","biolink:Protein","","","","","[""ENSG00000006638""]","","6915","9606","intact_covid","","TBXA2R","","P21731",,,,,,,,,,
"275",":Protein","","biolink:Protein","","","","","[""ENSG00000177025""]","","147685","9606","intact_covid","","C19orf18","","Q8NEA5",,,,,,,,,,
"276",":Protein","","biolink:Protein","","","","","[""ENSG00000107185""]","","9827","9606","intact_covid","","RGP1","","Q92546",,,,,,,,,,
"277",":Protein","","biolink:Protein","","","","","[""ENSG00000243716"",""ENSG00000284218""]","","100132247","9606","intact_covid","","NPIPB5","","A8MRT5",,,,,,,,,,
"278",":Protein","","biolink:Protein","","","","","[""ENSG00000211456""]","","22908","9606","intact_covid","","SACM1L","","Q9NTJ5",,,,,,,,,,
"279",":Protein","","biolink:Protein","","","","","[""ENSG00000127324""]","","7103","9606","intact_covid","","TSPAN8","","P19075",,,,,,,,,,
"280",":Protein","","biolink:Protein","","","","","[""ENSG00000196859"",""ENSG00000262164""]","","390792","9606","intact_covid","","KRT39","","Q6A163",,,,,,,,,,
"281",":Protein","","biolink:Protein","","","","","[""ENSG00000155959""]","","7411","9606","intact_covid","","VBP1","","P61758",,,,,,,,,,
"282",":Protein","","biolink:Protein","","","","","[""ENSG00000274320"",""ENSG00000197978""]","","440295","9606","intact_covid","","GOLGA6L9","","A6NEM1",,,,,,,,,,
"283",":Protein","","biolink:Protein","","","","","[""ENSG00000099795""]","","4713","9606","intact_covid,pathway","","NDUFB7","","P17568",,,,,,,,,,
"284",":Protein","","biolink:Protein","","","","","[""ENSG00000161405""]","","22806","9606","intact_covid","","IKZF3","","Q9UKT9",,,,,,,,,,
"285",":Protein","","biolink:Protein","","","","","[""ENSG00000167302""]","","146705","9606","intact_covid","","TEPSIN","","Q96N21",,,,,,,,,,
"286",":Protein","","biolink:Protein","","","","","[""ENSG00000124491""]","","2162","9606","intact_covid,pathway","","F13A1","","P00488",,,,,,,,,,
